NN:
only 17 features

Length Training Data: 33222
Length Testing Data: 128
Epoch: 1 / 10 | Training Loss: 1.6203 | eta: 0.000990
Time elapsed by epoch 2: 30.083333333333332 mins.
Epoch: 3 / 10 | Training Loss: 0.7672 | eta: 0.000509
Epoch: 3 / 10 | Training Loss: 0.6970 | eta: 0.000504
Epoch: 3 / 10 | Training Loss: 1.0273 | eta: 0.000499
Epoch: 3 / 10 | Training Loss: 0.8818 | eta: 0.000494
Epoch: 3 / 10 | Training Loss: 0.8452 | eta: 0.000489
Epoch: 3 / 10 | Training Loss: 0.7403 | eta: 0.000485
Epoch: 3 / 10 | Training Loss: 0.7669 | eta: 0.000480
Epoch: 3 / 10 | Training Loss: 0.8966 | eta: 0.000475
Epoch: 3 / 10 | Training Loss: 0.7395 | eta: 0.000470
Epoch: 3 / 10 | Training Loss: 0.8614 | eta: 0.000466
Epoch: 3 / 10 | Training Loss: 0.7917 | eta: 0.000461
Epoch: 3 / 10 | Training Loss: 0.8581 | eta: 0.000456
Epoch: 3 / 10 | Training Loss: 0.8760 | eta: 0.000452
Epoch: 3 / 10 | Training Loss: 0.8241 | eta: 0.000447
Epoch: 3 / 10 | Training Loss: 0.9132 | eta: 0.000443
Epoch: 3 / 10 | Training Loss: 0.7662 | eta: 0.000438
Epoch: 3 / 10 | Training Loss: 0.7823 | eta: 0.000434
Epoch: 3 / 10 | Training Loss: 0.7849 | eta: 0.000430
Epoch: 3 / 10 | Training Loss: 0.8008 | eta: 0.000426
Epoch: 3 / 10 | Training Loss: 0.7949 | eta: 0.000421
Epoch: 3 / 10 | Training Loss: 0.7748 | eta: 0.000417
Epoch: 3 / 10 | Training Loss: 0.7945 | eta: 0.000413
Epoch: 3 / 10 | Training Loss: 0.8042 | eta: 0.000409
Epoch: 3 / 10 | Training Loss: 0.7453 | eta: 0.000405
Epoch: 3 / 10 | Training Loss: 0.8021 | eta: 0.000401
Epoch: 3 / 10 | Training Loss: 0.7897 | eta: 0.000397
Epoch: 3 / 10 | Training Loss: 0.8306 | eta: 0.000393
Epoch: 3 / 10 | Training Loss: 0.7973 | eta: 0.000389
Epoch: 3 / 10 | Training Loss: 0.7841 | eta: 0.000385
Epoch: 3 / 10 | Training Loss: 0.6767 | eta: 0.000381
Epoch: 3 / 10 | Training Loss: 0.7521 | eta: 0.000377
Epoch: 3 / 10 | Training Loss: 0.7105 | eta: 0.000374
Epoch: 3 / 10 | Training Loss: 0.7880 | eta: 0.000370
Time elapsed by epoch 3: 45.11666666666667 mins.
Epoch: 4 / 10 | Training Loss: 0.8419 | eta: 0.000365
Epoch: 4 / 10 | Training Loss: 0.8146 | eta: 0.000362
Epoch: 4 / 10 | Training Loss: 0.7513 | eta: 0.000358
Epoch: 4 / 10 | Training Loss: 0.6806 | eta: 0.000355
Epoch: 4 / 10 | Training Loss: 0.7250 | eta: 0.000351
Epoch: 4 / 10 | Training Loss: 0.6975 | eta: 0.000348
Epoch: 4 / 10 | Training Loss: 0.7250 | eta: 0.000344
Epoch: 4 / 10 | Training Loss: 0.6719 | eta: 0.000341
Epoch: 4 / 10 | Training Loss: 0.7035 | eta: 0.000337
Epoch: 4 / 10 | Training Loss: 0.6895 | eta: 0.000334
Epoch: 4 / 10 | Training Loss: 0.6875 | eta: 0.000331
Epoch: 4 / 10 | Training Loss: 0.8541 | eta: 0.000327
Epoch: 4 / 10 | Training Loss: 0.7606 | eta: 0.000324
Epoch: 4 / 10 | Training Loss: 0.6777 | eta: 0.000321
Epoch: 4 / 10 | Training Loss: 0.7978 | eta: 0.000318
Epoch: 4 / 10 | Training Loss: 0.7777 | eta: 0.000315
Epoch: 4 / 10 | Training Loss: 0.7139 | eta: 0.000311
Epoch: 4 / 10 | Training Loss: 0.9233 | eta: 0.000308
Epoch: 4 / 10 | Training Loss: 0.6616 | eta: 0.000305
Epoch: 4 / 10 | Training Loss: 0.6626 | eta: 0.000302
Epoch: 4 / 10 | Training Loss: 0.7087 | eta: 0.000299
Epoch: 4 / 10 | Training Loss: 0.8076 | eta: 0.000296
Epoch: 4 / 10 | Training Loss: 0.6630 | eta: 0.000293
Epoch: 4 / 10 | Training Loss: 0.7283 | eta: 0.000290
Epoch: 4 / 10 | Training Loss: 0.7083 | eta: 0.000287
Epoch: 4 / 10 | Training Loss: 0.6462 | eta: 0.000285
Epoch: 4 / 10 | Training Loss: 0.6998 | eta: 0.000282
Epoch: 4 / 10 | Training Loss: 1.1482 | eta: 0.000279
Epoch: 4 / 10 | Training Loss: 0.7617 | eta: 0.000276
Epoch: 4 / 10 | Training Loss: 0.6824 | eta: 0.000273
Epoch: 4 / 10 | Training Loss: 0.6398 | eta: 0.000271
Epoch: 4 / 10 | Training Loss: 0.6683 | eta: 0.000268
Epoch: 4 / 10 | Training Loss: 0.7576 | eta: 0.000265
Time elapsed by epoch 4: 60.15 mins.
Epoch: 5 / 10 | Training Loss: 0.6628 | eta: 0.000262
Epoch: 5 / 10 | Training Loss: 0.5840 | eta: 0.000260
Epoch: 5 / 10 | Training Loss: 0.6465 | eta: 0.000257
Epoch: 5 / 10 | Training Loss: 0.7356 | eta: 0.000254
Epoch: 5 / 10 | Training Loss: 0.7124 | eta: 0.000252
Epoch: 5 / 10 | Training Loss: 0.6550 | eta: 0.000249
Epoch: 5 / 10 | Training Loss: 0.6708 | eta: 0.000247
Epoch: 5 / 10 | Training Loss: 0.6951 | eta: 0.000244
Epoch: 5 / 10 | Training Loss: 0.6434 | eta: 0.000242
Epoch: 5 / 10 | Training Loss: 1.0709 | eta: 0.000240
Epoch: 5 / 10 | Training Loss: 0.7891 | eta: 0.000237
Epoch: 5 / 10 | Training Loss: 0.6427 | eta: 0.000235
Epoch: 5 / 10 | Training Loss: 0.6489 | eta: 0.000232
Epoch: 5 / 10 | Training Loss: 0.6488 | eta: 0.000230
Epoch: 5 / 10 | Training Loss: 0.8403 | eta: 0.000228
Epoch: 5 / 10 | Training Loss: 0.7040 | eta: 0.000226
Epoch: 5 / 10 | Training Loss: 0.6328 | eta: 0.000223
Epoch: 5 / 10 | Training Loss: 0.7071 | eta: 0.000221
Epoch: 5 / 10 | Training Loss: 0.6257 | eta: 0.000219
Epoch: 5 / 10 | Training Loss: 0.6838 | eta: 0.000217
Epoch: 5 / 10 | Training Loss: 0.6394 | eta: 0.000215
Epoch: 5 / 10 | Training Loss: 0.6454 | eta: 0.000212
Epoch: 5 / 10 | Training Loss: 0.6288 | eta: 0.000210
Epoch: 5 / 10 | Training Loss: 0.6599 | eta: 0.000208
Epoch: 5 / 10 | Training Loss: 0.7620 | eta: 0.000206
Epoch: 5 / 10 | Training Loss: 0.7182 | eta: 0.000204
Epoch: 5 / 10 | Training Loss: 0.6796 | eta: 0.000202
Epoch: 5 / 10 | Training Loss: 0.6708 | eta: 0.000200
Epoch: 5 / 10 | Training Loss: 0.6980 | eta: 0.000198
Epoch: 5 / 10 | Training Loss: 0.7201 | eta: 0.000196
Epoch: 5 / 10 | Training Loss: 0.6142 | eta: 0.000194
Epoch: 5 / 10 | Training Loss: 0.6570 | eta: 0.000192
Epoch: 5 / 10 | Training Loss: 0.6322 | eta: 0.000190
Time elapsed by epoch 5: 75.21666666666667 mins.
Epoch: 6 / 10 | Training Loss: 0.6549 | eta: 0.000188
Epoch: 6 / 10 | Training Loss: 0.6432 | eta: 0.000186
Epoch: 6 / 10 | Training Loss: 0.8269 | eta: 0.000184
Epoch: 6 / 10 | Training Loss: 0.5942 | eta: 0.000182
Epoch: 6 / 10 | Training Loss: 0.6246 | eta: 0.000181
Epoch: 6 / 10 | Training Loss: 0.6003 | eta: 0.000179
Epoch: 6 / 10 | Training Loss: 0.6464 | eta: 0.000177
Epoch: 6 / 10 | Training Loss: 0.6348 | eta: 0.000175
Epoch: 6 / 10 | Training Loss: 0.6870 | eta: 0.000174
Epoch: 6 / 10 | Training Loss: 0.6051 | eta: 0.000172
Epoch: 6 / 10 | Training Loss: 0.5744 | eta: 0.000170
Epoch: 6 / 10 | Training Loss: 0.7926 | eta: 0.000168
Epoch: 6 / 10 | Training Loss: 0.6313 | eta: 0.000167
Epoch: 6 / 10 | Training Loss: 0.5781 | eta: 0.000165
Epoch: 6 / 10 | Training Loss: 0.5839 | eta: 0.000163
Epoch: 6 / 10 | Training Loss: 0.6110 | eta: 0.000162
Epoch: 6 / 10 | Training Loss: 0.5806 | eta: 0.000160
Epoch: 6 / 10 | Training Loss: 0.5496 | eta: 0.000159
Epoch: 6 / 10 | Training Loss: 0.5739 | eta: 0.000157
Epoch: 6 / 10 | Training Loss: 0.6278 | eta: 0.000156
Epoch: 6 / 10 | Training Loss: 1.0572 | eta: 0.000154
Epoch: 6 / 10 | Training Loss: 0.6659 | eta: 0.000152
Epoch: 6 / 10 | Training Loss: 0.6103 | eta: 0.000151
Epoch: 6 / 10 | Training Loss: 0.6367 | eta: 0.000149
Epoch: 6 / 10 | Training Loss: 0.6520 | eta: 0.000148
Epoch: 6 / 10 | Training Loss: 0.6505 | eta: 0.000146
Epoch: 6 / 10 | Training Loss: 0.8724 | eta: 0.000145
Epoch: 6 / 10 | Training Loss: 0.6047 | eta: 0.000144
Epoch: 6 / 10 | Training Loss: 0.5908 | eta: 0.000142
Epoch: 6 / 10 | Training Loss: 0.5988 | eta: 0.000141
Epoch: 6 / 10 | Training Loss: 0.6202 | eta: 0.000139
Epoch: 6 / 10 | Training Loss: 0.5976 | eta: 0.000138
Epoch: 6 / 10 | Training Loss: 1.0174 | eta: 0.000137
Time elapsed by epoch 6: 90.21666666666667 mins.
Epoch: 7 / 10 | Training Loss: 0.5706 | eta: 0.000135
Epoch: 7 / 10 | Training Loss: 0.6282 | eta: 0.000134
Epoch: 7 / 10 | Training Loss: 0.6966 | eta: 0.000132
Epoch: 7 / 10 | Training Loss: 1.6615 | eta: 0.000131
Epoch: 7 / 10 | Training Loss: 0.6043 | eta: 0.000130
Epoch: 7 / 10 | Training Loss: 0.5804 | eta: 0.000128
Epoch: 7 / 10 | Training Loss: 0.6414 | eta: 0.000127
Epoch: 7 / 10 | Training Loss: 0.6350 | eta: 0.000126
Epoch: 7 / 10 | Training Loss: 0.6199 | eta: 0.000125
Epoch: 7 / 10 | Training Loss: 0.5440 | eta: 0.000123
Epoch: 7 / 10 | Training Loss: 0.6433 | eta: 0.000122
Epoch: 7 / 10 | Training Loss: 0.5567 | eta: 0.000121
Epoch: 7 / 10 | Training Loss: 0.6005 | eta: 0.000120
Epoch: 7 / 10 | Training Loss: 0.5853 | eta: 0.000118
Epoch: 7 / 10 | Training Loss: 0.6169 | eta: 0.000117
Epoch: 7 / 10 | Training Loss: 0.6823 | eta: 0.000116
Epoch: 7 / 10 | Training Loss: 0.6835 | eta: 0.000115
Epoch: 7 / 10 | Training Loss: 0.5980 | eta: 0.000114
Epoch: 7 / 10 | Training Loss: 1.3511 | eta: 0.000113
Epoch: 7 / 10 | Training Loss: 0.6328 | eta: 0.000112
Epoch: 7 / 10 | Training Loss: 0.6490 | eta: 0.000110
Epoch: 7 / 10 | Training Loss: 0.5593 | eta: 0.000109
Epoch: 7 / 10 | Training Loss: 0.6515 | eta: 0.000108
Epoch: 7 / 10 | Training Loss: 0.6840 | eta: 0.000107
Epoch: 7 / 10 | Training Loss: 0.5528 | eta: 0.000106
Epoch: 7 / 10 | Training Loss: 0.5936 | eta: 0.000105
Epoch: 7 / 10 | Training Loss: 0.5730 | eta: 0.000104
Epoch: 7 / 10 | Training Loss: 0.5684 | eta: 0.000103
Epoch: 7 / 10 | Training Loss: 0.5457 | eta: 0.000102
Epoch: 7 / 10 | Training Loss: 0.5657 | eta: 0.000101
Epoch: 7 / 10 | Training Loss: 0.6504 | eta: 0.000100
Epoch: 7 / 10 | Training Loss: 0.6374 | eta: 0.000099
Epoch: 7 / 10 | Training Loss: 0.5993 | eta: 0.000098
Time elapsed by epoch 7: 105.3 mins.
Epoch: 8 / 10 | Training Loss: 0.7197 | eta: 0.000097
Epoch: 8 / 10 | Training Loss: 0.6105 | eta: 0.000096
Epoch: 8 / 10 | Training Loss: 0.6953 | eta: 0.000095
Epoch: 8 / 10 | Training Loss: 0.5666 | eta: 0.000094
Epoch: 8 / 10 | Training Loss: 0.6137 | eta: 0.000093
Epoch: 8 / 10 | Training Loss: 0.6279 | eta: 0.000092
Epoch: 8 / 10 | Training Loss: 0.5990 | eta: 0.000091
Epoch: 8 / 10 | Training Loss: 0.5921 | eta: 0.000090
Epoch: 8 / 10 | Training Loss: 0.5438 | eta: 0.000089
Epoch: 8 / 10 | Training Loss: 0.5397 | eta: 0.000088
Epoch: 8 / 10 | Training Loss: 0.6029 | eta: 0.000088
Epoch: 8 / 10 | Training Loss: 0.5429 | eta: 0.000087
Epoch: 8 / 10 | Training Loss: 0.5936 | eta: 0.000086
Epoch: 8 / 10 | Training Loss: 0.6551 | eta: 0.000085
Epoch: 8 / 10 | Training Loss: 0.5449 | eta: 0.000084
Epoch: 8 / 10 | Training Loss: 0.5874 | eta: 0.000083
Epoch: 8 / 10 | Training Loss: 0.5549 | eta: 0.000082
Epoch: 8 / 10 | Training Loss: 0.6564 | eta: 0.000082
Epoch: 8 / 10 | Training Loss: 0.6797 | eta: 0.000081
Epoch: 8 / 10 | Training Loss: 0.6175 | eta: 0.000080
Epoch: 8 / 10 | Training Loss: 0.6623 | eta: 0.000079
Epoch: 8 / 10 | Training Loss: 0.5723 | eta: 0.000078
Epoch: 8 / 10 | Training Loss: 0.5241 | eta: 0.000078
Epoch: 8 / 10 | Training Loss: 0.6038 | eta: 0.000077
Epoch: 8 / 10 | Training Loss: 0.6484 | eta: 0.000076
Epoch: 8 / 10 | Training Loss: 0.5356 | eta: 0.000075
Epoch: 8 / 10 | Training Loss: 1.1234 | eta: 0.000075
Epoch: 8 / 10 | Training Loss: 0.5814 | eta: 0.000074
Epoch: 8 / 10 | Training Loss: 0.5908 | eta: 0.000073
Epoch: 8 / 10 | Training Loss: 0.5331 | eta: 0.000072
Epoch: 8 / 10 | Training Loss: 0.5180 | eta: 0.000072
Epoch: 8 / 10 | Training Loss: 0.6066 | eta: 0.000071
Epoch: 8 / 10 | Training Loss: 0.7140 | eta: 0.000070
Time elapsed by epoch 8: 120.38333333333334 mins.
Epoch: 9 / 10 | Training Loss: 0.5494 | eta: 0.000069
Epoch: 9 / 10 | Training Loss: 0.7130 | eta: 0.000069
Epoch: 9 / 10 | Training Loss: 0.6084 | eta: 0.000068
Epoch: 9 / 10 | Training Loss: 0.5446 | eta: 0.000067
Epoch: 9 / 10 | Training Loss: 0.6381 | eta: 0.000067
Epoch: 9 / 10 | Training Loss: 0.6229 | eta: 0.000066
Epoch: 9 / 10 | Training Loss: 0.5745 | eta: 0.000065
Epoch: 9 / 10 | Training Loss: 0.5479 | eta: 0.000065
Epoch: 9 / 10 | Training Loss: 0.6177 | eta: 0.000064
Epoch: 9 / 10 | Training Loss: 0.5434 | eta: 0.000063
Epoch: 9 / 10 | Training Loss: 0.5507 | eta: 0.000063
Epoch: 9 / 10 | Training Loss: 2.5362 | eta: 0.000062
Epoch: 9 / 10 | Training Loss: 0.5503 | eta: 0.000062
Epoch: 9 / 10 | Training Loss: 0.5451 | eta: 0.000061
Epoch: 9 / 10 | Training Loss: 0.7110 | eta: 0.000060
Epoch: 9 / 10 | Training Loss: 0.9601 | eta: 0.000060
Epoch: 9 / 10 | Training Loss: 0.5466 | eta: 0.000059
Epoch: 9 / 10 | Training Loss: 0.6059 | eta: 0.000059
Epoch: 9 / 10 | Training Loss: 1.0667 | eta: 0.000058
Epoch: 9 / 10 | Training Loss: 0.6430 | eta: 0.000057
Epoch: 9 / 10 | Training Loss: 0.5439 | eta: 0.000057
Epoch: 9 / 10 | Training Loss: 0.5479 | eta: 0.000056
Epoch: 9 / 10 | Training Loss: 0.6023 | eta: 0.000056
Epoch: 9 / 10 | Training Loss: 0.9862 | eta: 0.000055
Epoch: 9 / 10 | Training Loss: 0.6180 | eta: 0.000055
Epoch: 9 / 10 | Training Loss: 0.5559 | eta: 0.000054
Epoch: 9 / 10 | Training Loss: 0.6160 | eta: 0.000054
Epoch: 9 / 10 | Training Loss: 0.6048 | eta: 0.000053
Epoch: 9 / 10 | Training Loss: 0.5797 | eta: 0.000052
Epoch: 9 / 10 | Training Loss: 0.6422 | eta: 0.000052
Epoch: 9 / 10 | Training Loss: 0.5951 | eta: 0.000051
Epoch: 9 / 10 | Training Loss: 0.5638 | eta: 0.000051
Epoch: 9 / 10 | Training Loss: 0.5326 | eta: 0.000050
Time elapsed by epoch 9: 135.68333333333334 mins.
Epoch: 10 / 10 | Training Loss: 0.6277 | eta: 0.000050
Epoch: 10 / 10 | Training Loss: 0.5433 | eta: 0.000049
Epoch: 10 / 10 | Training Loss: 0.5610 | eta: 0.000049
Epoch: 10 / 10 | Training Loss: 0.5624 | eta: 0.000048
Epoch: 10 / 10 | Training Loss: 0.5219 | eta: 0.000048
Epoch: 10 / 10 | Training Loss: 0.5356 | eta: 0.000047
Epoch: 10 / 10 | Training Loss: 1.1130 | eta: 0.000047
Epoch: 10 / 10 | Training Loss: 0.6297 | eta: 0.000046
Epoch: 10 / 10 | Training Loss: 0.6245 | eta: 0.000046
Epoch: 10 / 10 | Training Loss: 0.5142 | eta: 0.000046
Epoch: 10 / 10 | Training Loss: 0.5637 | eta: 0.000045
Epoch: 10 / 10 | Training Loss: 1.3417 | eta: 0.000045
Epoch: 10 / 10 | Training Loss: 0.5344 | eta: 0.000044
Epoch: 10 / 10 | Training Loss: 0.5760 | eta: 0.000044
Epoch: 10 / 10 | Training Loss: 0.5336 | eta: 0.000043
Epoch: 10 / 10 | Training Loss: 0.5782 | eta: 0.000043
Epoch: 10 / 10 | Training Loss: 0.5463 | eta: 0.000042
Epoch: 10 / 10 | Training Loss: 0.5420 | eta: 0.000042
Epoch: 10 / 10 | Training Loss: 4.7698 | eta: 0.000042
Epoch: 10 / 10 | Training Loss: 0.5817 | eta: 0.000041
Epoch: 10 / 10 | Training Loss: 0.5701 | eta: 0.000041
Epoch: 10 / 10 | Training Loss: 0.5438 | eta: 0.000040
Epoch: 10 / 10 | Training Loss: 0.5131 | eta: 0.000040
Epoch: 10 / 10 | Training Loss: 0.5235 | eta: 0.000040
Epoch: 10 / 10 | Training Loss: 0.9017 | eta: 0.000039
Epoch: 10 / 10 | Training Loss: 0.5554 | eta: 0.000039
Epoch: 10 / 10 | Training Loss: 0.5532 | eta: 0.000038
Epoch: 10 / 10 | Training Loss: 0.5351 | eta: 0.000038
Epoch: 10 / 10 | Training Loss: 0.5211 | eta: 0.000038
Epoch: 10 / 10 | Training Loss: 0.5732 | eta: 0.000037
Epoch: 10 / 10 | Training Loss: 0.5921 | eta: 0.000037
Epoch: 10 / 10 | Training Loss: 0.5402 | eta: 0.000037
Epoch: 10 / 10 | Training Loss: 0.5688 | eta: 0.000036
Time elapsed by epoch 10: 151.1 mins.
Total training time: 151.1 mins.
Model accuracy: 0.625
