value,timestamp
56,2020-10-15
53,2020-10-14
56,2020-10-13
52,2020-10-12
55,2020-10-11
53,2020-10-10
48,2020-10-09
46,2020-10-08
43,2020-10-07
47,2020-10-06
42,2020-10-05
42,2020-10-04
40,2020-10-03
41,2020-10-02
45,2020-10-01
49,2020-09-30
45,2020-09-29
43,2020-09-28
47,2020-09-27
45,2020-09-26
46,2020-09-25
39,2020-09-24
43,2020-09-23
39,2020-09-22
48,2020-09-21
52,2020-09-20
48,2020-09-19
49,2020-09-18
48,2020-09-17
43,2020-09-16
47,2020-09-15
39,2020-09-14
38,2020-09-13
41,2020-09-12
41,2020-09-11
38,2020-09-10
38,2020-09-09
41,2020-09-08
41,2020-09-07
41,2020-09-06
41,2020-09-05
40,2020-09-04
79,2020-09-03
83,2020-09-02
75,2020-09-01
75,2020-08-31
75,2020-08-30
79,2020-08-29
74,2020-08-28
75,2020-08-27
76,2020-08-26
75,2020-08-25
78,2020-08-24
76,2020-08-23
78,2020-08-22
81,2020-08-21
75,2020-08-20
80,2020-08-19
82,2020-08-18
83,2020-08-17
82,2020-08-16
79,2020-08-15
78,2020-08-14
75,2020-08-13
75,2020-08-12
84,2020-08-11
78,2020-08-10
79,2020-08-09
77,2020-08-08
77,2020-08-07
79,2020-08-06
75,2020-08-05
72,2020-08-04
75,2020-08-03
80,2020-08-02
75,2020-08-01
75,2020-07-31
76,2020-07-30
71,2020-07-29
76,2020-07-28
58,2020-07-27
55,2020-07-26
55,2020-07-25
53,2020-07-24
55,2020-07-23
50,2020-07-22
44,2020-07-21
44,2020-07-20
41,2020-07-19
44,2020-07-18
41,2020-07-17
43,2020-07-16
44,2020-07-15
43,2020-07-14
43,2020-07-13
41,2020-07-12
44,2020-07-11
41,2020-07-10
44,2020-07-09
44,2020-07-08
43,2020-07-07
40,2020-07-06
38,2020-07-05
40,2020-07-04
41,2020-07-03
42,2020-07-02
42,2020-07-01
44,2020-06-30
41,2020-06-29
40,2020-06-28
43,2020-06-27
40,2020-06-26
43,2020-06-25
50,2020-06-24
41,2020-06-23
38,2020-06-22
37,2020-06-21
38,2020-06-20
39,2020-06-19
40,2020-06-18
38,2020-06-17
39,2020-06-16
37,2020-06-15
40,2020-06-14
38,2020-06-13
38,2020-06-12
52,2020-06-11
54,2020-06-10
52,2020-06-09
53,2020-06-08
54,2020-06-07
54,2020-06-06
53,2020-06-05
54,2020-06-04
48,2020-06-03
56,2020-06-02
50,2020-06-01
51,2020-05-31
48,2020-05-30
48,2020-05-29
41,2020-05-28
39,2020-05-27
39,2020-05-26
41,2020-05-25
43,2020-05-24
40,2020-05-23
42,2020-05-22
49,2020-05-21
52,2020-05-20
50,2020-05-19
50,2020-05-18
40,2020-05-17
41,2020-05-16
44,2020-05-15
40,2020-05-14
41,2020-05-13
39,2020-05-12
40,2020-05-11
48,2020-05-10
56,2020-05-09
55,2020-05-08
49,2020-05-07
42,2020-05-06
40,2020-05-05
44,2020-05-04
45,2020-05-03
40,2020-05-02
40,2020-05-01
44,2020-04-30
26,2020-04-29
26,2020-04-28
28,2020-04-27
21,2020-04-26
24,2020-04-25
20,2020-04-24
19,2020-04-23
19,2020-04-22
17,2020-04-21
15,2020-04-20
16,2020-04-19
18,2020-04-18
15,2020-04-17
13,2020-04-16
18,2020-04-15
15,2020-04-14
11,2020-04-13
10,2020-04-12
15,2020-04-11
15,2020-04-10
22,2020-04-09
21,2020-04-08
20,2020-04-07
12,2020-04-06
12,2020-04-05
12,2020-04-04
14,2020-04-03
14,2020-04-02
12,2020-04-01
12,2020-03-31
10,2020-03-30
12,2020-03-29
8,2020-03-28
12,2020-03-27
14,2020-03-26
13,2020-03-25
12,2020-03-24
10,2020-03-23
11,2020-03-22
9,2020-03-21
9,2020-03-20
12,2020-03-19
11,2020-03-18
8,2020-03-17
9,2020-03-16
12,2020-03-15
8,2020-03-14
10,2020-03-13
14,2020-03-12
17,2020-03-11
16,2020-03-10
17,2020-03-09
33,2020-03-08
38,2020-03-07
39,2020-03-06
41,2020-03-05
40,2020-03-04
38,2020-03-03
38,2020-03-02
39,2020-03-01
38,2020-02-29
40,2020-02-28
39,2020-02-27
41,2020-02-26
44,2020-02-25
46,2020-02-24
46,2020-02-23
43,2020-02-22
44,2020-02-21
44,2020-02-20
50,2020-02-19
53,2020-02-18
49,2020-02-17
59,2020-02-16
64,2020-02-15
63,2020-02-14
65,2020-02-13
61,2020-02-12
52,2020-02-11
57,2020-02-10
56,2020-02-09
56,2020-02-08
56,2020-02-07
61,2020-02-06
53,2020-02-05
56,2020-02-04
59,2020-02-03
57,2020-02-02
57,2020-02-01
55,2020-01-31
57,2020-01-30
57,2020-01-29
54,2020-01-28
50,2020-01-27
42,2020-01-26
41,2020-01-25
40,2020-01-24
49,2020-01-23
52,2020-01-22
49,2020-01-21
48,2020-01-20
53,2020-01-19
51,2020-01-18
54,2020-01-17
55,2020-01-16
54,2020-01-15
56,2020-01-14
49,2020-01-13
45,2020-01-12
50,2020-01-11
41,2020-01-10
44,2020-01-09
51,2020-01-08
40,2020-01-07
41,2020-01-06
39,2020-01-05
38,2020-01-04
38,2020-01-03
39,2020-01-02
37,2020-01-01
38,2019-12-31
40,2019-12-30
37,2019-12-29
37,2019-12-28
38,2019-12-27
39,2019-12-26
22,2019-12-25
25,2019-12-24
33,2019-12-23
20,2019-12-22
23,2019-12-21
23,2019-12-20
21,2019-12-19
15,2019-12-18
23,2019-12-17
24,2019-12-16
21,2019-12-15
27,2019-12-14
22,2019-12-13
23,2019-12-12
20,2019-12-11
26,2019-12-10
32,2019-12-09
28,2019-12-08
32,2019-12-07
29,2019-12-06
21,2019-12-05
24,2019-12-04
28,2019-12-03
28,2019-12-02
25,2019-12-01
38,2019-11-30
31,2019-11-29
32,2019-11-28
20,2019-11-27
21,2019-11-26
17,2019-11-25
21,2019-11-24
23,2019-11-23
20,2019-11-22
30,2019-11-21
32,2019-11-20
32,2019-11-19
38,2019-11-18
38,2019-11-17
41,2019-11-16
38,2019-11-15
41,2019-11-14
38,2019-11-13
39,2019-11-12
40,2019-11-11
39,2019-11-10
38,2019-11-09
42,2019-11-08
54,2019-11-07
53,2019-11-06
54,2019-11-05
49,2019-11-04
56,2019-11-03
51,2019-11-02
49,2019-11-01
50,2019-10-31
53,2019-10-30
54,2019-10-29
52,2019-10-28
50,2019-10-27
53,2019-10-26
24,2019-10-25
20,2019-10-24
33,2019-10-23
39,2019-10-22
37,2019-10-21
37,2019-10-20
41,2019-10-19
40,2019-10-18
40,2019-10-17
40,2019-10-16
39,2019-10-15
37,2019-10-14
38,2019-10-13
38,2019-10-12
39,2019-10-11
41,2019-10-10
37,2019-10-09
39,2019-10-08
27,2019-10-07
32,2019-10-06
31,2019-10-05
30,2019-10-04
37,2019-10-03
39,2019-10-02
38,2019-10-01
27,2019-09-30
33,2019-09-29
32,2019-09-28
24,2019-09-27
12,2019-09-26
15,2019-09-25
39,2019-09-24
41,2019-09-23
37,2019-09-22
37,2019-09-21
41,2019-09-20
31,2019-09-19
38,2019-09-18
41,2019-09-17
38,2019-09-16
38,2019-09-15
39,2019-09-14
38,2019-09-13
39,2019-09-12
38,2019-09-11
41,2019-09-10
41,2019-09-09
43,2019-09-08
39,2019-09-07
43,2019-09-06
41,2019-09-05
43,2019-09-04
41,2019-09-03
28,2019-09-02
24,2019-09-01
20,2019-08-31
24,2019-08-30
20,2019-08-29
32,2019-08-28
30,2019-08-27
41,2019-08-26
33,2019-08-25
39,2019-08-24
33,2019-08-23
5,2019-08-22
11,2019-08-21
39,2019-08-20
30,2019-08-19
14,2019-08-18
20,2019-08-17
31,2019-08-16
13,2019-08-15
11,2019-08-14
45,2019-08-13
48,2019-08-12
45,2019-08-11
59,2019-08-10
60,2019-08-09
61,2019-08-08
45,2019-08-07
66,2019-08-06
64,2019-08-05
62,2019-08-04
61,2019-08-03
61,2019-08-02
57,2019-08-01
31,2019-07-31
22,2019-07-30
19,2019-07-29
16,2019-07-28
47,2019-07-27
24,2019-07-26
42,2019-07-25
20,2019-07-24
40,2019-07-23
42,2019-07-22
42,2019-07-21
34,2019-07-20
42,2019-07-19
40,2019-07-18
19,2019-07-17
34,2019-07-16
16,2019-07-15
61,2019-07-14
65,2019-07-13
33,2019-07-12
62,2019-07-11
83,2019-07-10
84,2019-07-09
74,2019-07-08
67,2019-07-07
72,2019-07-06
67,2019-07-05
76,2019-07-04
79,2019-07-03
63,2019-07-02
65,2019-07-01
78,2019-06-30
74,2019-06-29
62,2019-06-28
92,2019-06-27
95,2019-06-26
87,2019-06-25
80,2019-06-24
84,2019-06-23
83,2019-06-22
84,2019-06-21
81,2019-06-20
82,2019-06-19
83,2019-06-18
84,2019-06-17
80,2019-06-16
75,2019-06-15
67,2019-06-14
63,2019-06-13
60,2019-06-12
61,2019-06-11
46,2019-06-10
62,2019-06-09
62,2019-06-08
27,2019-06-07
34,2019-06-06
27,2019-06-05
42,2019-06-04
66,2019-06-03
63,2019-06-02
62,2019-06-01
61,2019-05-31
73,2019-05-30
71,2019-05-29
71,2019-05-28
70,2019-05-27
67,2019-05-26
69,2019-05-25
64,2019-05-24
65,2019-05-23
69,2019-05-22
68,2019-05-21
73,2019-05-20
70,2019-05-19
67,2019-05-18
65,2019-05-17
75,2019-05-16
77,2019-05-15
78,2019-05-14
78,2019-05-13
75,2019-05-12
76,2019-05-11
71,2019-05-10
69,2019-05-09
63,2019-05-08
69,2019-05-07
57,2019-05-06
67,2019-05-05
66,2019-05-04
63,2019-05-03
50,2019-05-02
51,2019-05-01
42,2019-04-30
42,2019-04-29
40,2019-04-28
42,2019-04-27
41,2019-04-26
58,2019-04-25
65,2019-04-24
68,2019-04-23
61,2019-04-22
62,2019-04-21
62,2019-04-20
61,2019-04-19
64,2019-04-18
61,2019-04-17
50,2019-04-16
60,2019-04-15
51,2019-04-14
62,2019-04-13
42,2019-04-12
65,2019-04-11
62,2019-04-10
64,2019-04-09
65,2019-04-08
69,2019-04-07
65,2019-04-06
59,2019-04-05
61,2019-04-04
71,2019-04-03
60,2019-04-02
62,2019-04-01
56,2019-03-31
57,2019-03-30
50,2019-03-29
49,2019-03-28
44,2019-03-27
43,2019-03-26
46,2019-03-25
44,2019-03-24
50,2019-03-23
56,2019-03-22
62,2019-03-21
55,2019-03-20
56,2019-03-19
56,2019-03-18
58,2019-03-17
54,2019-03-16
55,2019-03-15
55,2019-03-14
54,2019-03-13
56,2019-03-12
56,2019-03-11
55,2019-03-10
55,2019-03-09
54,2019-03-08
56,2019-03-07
42,2019-03-06
35,2019-03-05
36,2019-03-04
44,2019-03-03
41,2019-03-02
42,2019-03-01
39,2019-02-28
39,2019-02-27
40,2019-02-26
47,2019-02-25
69,2019-02-24
63,2019-02-23
61,2019-02-22
59,2019-02-21
59,2019-02-20
65,2019-02-19
63,2019-02-18
38,2019-02-17
43,2019-02-16
43,2019-02-15
48,2019-02-14
48,2019-02-13
38,2019-02-12
46,2019-02-11
40,2019-02-10
42,2019-02-09
37,2019-02-08
18,2019-02-07
14,2019-02-06
21,2019-02-05
27,2019-02-04
19,2019-02-03
22,2019-02-02
23,2019-02-01
17,2019-01-31
22,2019-01-30
21,2019-01-29
35,2019-01-28
39,2019-01-27
41,2019-01-26
35,2019-01-25
37,2019-01-24
33,2019-01-23
27,2019-01-22
30,2019-01-21
35,2019-01-20
31,2019-01-19
29,2019-01-18
28,2019-01-17
24,2019-01-16
27,2019-01-15
16,2019-01-14
21,2019-01-13
22,2019-01-12
19,2019-01-11
37,2019-01-10
42,2019-01-09
39,2019-01-08
39,2019-01-07
31,2019-01-06
36,2019-01-05
48,2019-01-04
33,2019-01-03
30,2019-01-02
24,2019-01-01
26,2018-12-31
23,2018-12-30
24,2018-12-29
21,2018-12-28
29,2018-12-27
26,2018-12-26
33,2018-12-25
25,2018-12-24
31,2018-12-23
28,2018-12-22
35,2018-12-21
27,2018-12-20
21,2018-12-19
23,2018-12-18
17,2018-12-17
13,2018-12-16
11,2018-12-15
10,2018-12-14
14,2018-12-13
14,2018-12-12
15,2018-12-11
19,2018-12-10
14,2018-12-09
11,2018-12-08
11,2018-12-07
13,2018-12-06
19,2018-12-05
12,2018-12-04
17,2018-12-03
15,2018-12-02
13,2018-12-01
19,2018-11-30
18,2018-11-29
14,2018-11-28
11,2018-11-27
17,2018-11-26
9,2018-11-25
15,2018-11-24
12,2018-11-23
14,2018-11-22
15,2018-11-21
21,2018-11-20
28,2018-11-19
26,2018-11-18
24,2018-11-17
23,2018-11-16
28,2018-11-15
49,2018-11-14
56,2018-11-13
52,2018-11-12
54,2018-11-11
52,2018-11-10
47,2018-11-09
51,2018-11-08
48,2018-11-07
42,2018-11-06
42,2018-11-05
41,2018-11-04
36,2018-11-03
36,2018-11-02
29,2018-11-01
32,2018-10-31
31,2018-10-30
34,2018-10-29
35,2018-10-28
33,2018-10-27
29,2018-10-26
25,2018-10-25
23,2018-10-24
24,2018-10-23
27,2018-10-22
21,2018-10-21
21,2018-10-20
24,2018-10-19
26,2018-10-18
23,2018-10-17
24,2018-10-16
20,2018-10-15
18,2018-10-14
15,2018-10-13
13,2018-10-12
19,2018-10-11
28,2018-10-10
31,2018-10-09
26,2018-10-08
29,2018-10-07
34,2018-10-06
37,2018-10-05
29,2018-10-04
36,2018-10-03
33,2018-10-02
35,2018-10-01
34,2018-09-30
37,2018-09-29
42,2018-09-28
42,2018-09-27
37,2018-09-26
37,2018-09-25
43,2018-09-24
38,2018-09-23
35,2018-09-22
31,2018-09-21
24,2018-09-20
24,2018-09-19
21,2018-09-18
25,2018-09-17
28,2018-09-16
24,2018-09-15
23,2018-09-14
20,2018-09-13
14,2018-09-12
18,2018-09-11
15,2018-09-10
13,2018-09-09
18,2018-09-08
17,2018-09-07
14,2018-09-06
17,2018-09-05
26,2018-09-04
19,2018-09-03
18,2018-09-02
21,2018-09-01
17,2018-08-31
22,2018-08-30
19,2018-08-29
19,2018-08-28
18,2018-08-27
19,2018-08-26
22,2018-08-25
19,2018-08-24
18,2018-08-23
21,2018-08-22
19,2018-08-21
26,2018-08-20
27,2018-08-19
24,2018-08-18
19,2018-08-17
21,2018-08-16
18,2018-08-15
16,2018-08-14
21,2018-08-13
18,2018-08-12
18,2018-08-11
21,2018-08-10
19,2018-08-09
23,2018-08-08
25,2018-08-07
25,2018-08-06
23,2018-08-05
31,2018-08-04
36,2018-08-03
39,2018-08-02
39,2018-08-01
48,2018-07-31
53,2018-07-30
54,2018-07-29
54,2018-07-28
47,2018-07-27
53,2018-07-26
54,2018-07-25
49,2018-07-24
44,2018-07-23
46,2018-07-22
43,2018-07-21
47,2018-07-20
44,2018-07-19
42,2018-07-18
39,2018-07-17
36,2018-07-16
32,2018-07-15
29,2018-07-14
29,2018-07-13
33,2018-07-12
29,2018-07-11
37,2018-07-10
39,2018-07-09
38,2018-07-08
34,2018-07-07
34,2018-07-06
37,2018-07-05
33,2018-07-04
31,2018-07-03
27,2018-07-02
27,2018-07-01
22,2018-06-30
16,2018-06-29
20,2018-06-28
18,2018-06-27
21,2018-06-26
16,2018-06-25
15,2018-06-24
17,2018-06-23
28,2018-06-22
37,2018-06-21
34,2018-06-20
32,2018-06-19
27,2018-06-18
23,2018-06-17
22,2018-06-16
26,2018-06-15
17,2018-06-14
19,2018-06-13
19,2018-06-12
15,2018-06-11
24,2018-06-10
39,2018-06-09
40,2018-06-08
38,2018-06-07
42,2018-06-06
26,2018-06-05
41,2018-06-04
40,2018-06-03
27,2018-06-02
24,2018-06-01
25,2018-05-31
38,2018-05-30
16,2018-05-29
22,2018-05-28
19,2018-05-27
23,2018-05-26
25,2018-05-25
27,2018-05-24
26,2018-05-23
30,2018-05-22
41,2018-05-21
32,2018-05-20
31,2018-05-19
37,2018-05-18
31,2018-05-17
32,2018-05-16
40,2018-05-15
40,2018-05-14
40,2018-05-13
44,2018-05-12
41,2018-05-11
63,2018-05-10
53,2018-05-09
62,2018-05-08
56,2018-05-07
67,2018-05-06
63,2018-05-05
56,2018-05-04
55,2018-05-03
52,2018-05-02
56,2018-05-01
59,2018-04-30
61,2018-04-29
54,2018-04-28
55,2018-04-27
47,2018-04-26
64,2018-04-25
29,2018-04-24
28,2018-04-23
31,2018-04-22
32,2018-04-21
26,2018-04-20
25,2018-04-19
24,2018-04-18
26,2018-04-17
23,2018-04-13
18,2018-04-12
20,2018-04-11
18,2018-04-10
21,2018-04-09
17,2018-04-08
20,2018-04-07
19,2018-04-06
17,2018-04-05
22,2018-04-04
22,2018-04-03
11,2018-04-02
16,2018-04-01
16,2018-03-31
12,2018-03-30
18,2018-03-29
24,2018-03-28
24,2018-03-27
31,2018-03-26
30,2018-03-25
32,2018-03-24
28,2018-03-23
36,2018-03-22
36,2018-03-21
37,2018-03-20
29,2018-03-19
29,2018-03-18
31,2018-03-17
33,2018-03-16
32,2018-03-15
40,2018-03-14
41,2018-03-13
41,2018-03-12
40,2018-03-11
39,2018-03-10
37,2018-03-09
39,2018-03-08
37,2018-03-07
59,2018-03-06
55,2018-03-05
44,2018-03-04
56,2018-03-03
47,2018-03-02
38,2018-03-01
41,2018-02-28
44,2018-02-27
37,2018-02-26
33,2018-02-25
31,2018-02-24
39,2018-02-23
44,2018-02-22
54,2018-02-21
74,2018-02-20
67,2018-02-19
63,2018-02-18
74,2018-02-17
67,2018-02-16
71,2018-02-15
55,2018-02-14
35,2018-02-13
42,2018-02-12
31,2018-02-11
54,2018-02-10
44,2018-02-09
30,2018-02-08
36,2018-02-07
8,2018-02-06
11,2018-02-05
24,2018-02-04
40,2018-02-03
15,2018-02-02
30,2018-02-01
